vocabfile => ptb/ptb.vocab
batchsize => 25
epochs => 50
devfile => ptb/ptb.valid.txt
trainfile => ptb/ptb.train.txt
atype => KnetArray{Float32}
embedding => 256
gclip => 5.0
hiddens => [300]
Initial devperp 10014.204837931105
Epoch 1 | dperp 294.9315119118823 | trainperp 325.663715463986
Epoch 2 | dperp 286.6379759155789 | trainperp 230.82496755975293
Epoch 3 | dperp 283.3178301947157 | trainperp 194.15549819829823
Epoch 4 | dperp 270.5001779999121 | trainperp 162.4595570358044
Epoch 5 | dperp 252.79371814974016 | trainperp 133.97886927198448
Epoch 6 | dperp 252.878855020071 | trainperp 108.39643289014917
Epoch 7 | dperp 256.6763415391386 | trainperp 88.28797439230037
Epoch 8 | dperp 260.1243505202087 | trainperp 72.46848691562522
Epoch 9 | dperp 277.3461573855035 | trainperp 60.40065009443147
Epoch 10 | dperp 284.31489330597265 | trainperp 50.59414928864712
Epoch 11 | dperp 295.46267965883015 | trainperp 43.615693417960756
Epoch 12 | dperp 308.6563803657647 | trainperp 37.84964262633429
Epoch 13 | dperp 316.02029150499095 | trainperp 33.79069601295127
Epoch 14 | dperp 331.1712151713874 | trainperp 29.879307603206595
Epoch 15 | dperp 355.7473107848743 | trainperp 27.080368702707123
Epoch 16 | dperp 366.0001951029517 | trainperp 24.560262122539946
Epoch 17 | dperp 387.2620736403079 | trainperp 22.458445275659
Epoch 18 | dperp 404.94596317114303 | trainperp 20.993483920083754
Epoch 19 | dperp 428.6736835681779 | trainperp 19.615542043457516
Epoch 20 | dperp 451.9902827170142 | trainperp 18.217605183630567
Epoch 21 | dperp 472.98140179852976 | trainperp 17.170161171796558
Epoch 22 | dperp 479.06896965052465 | trainperp 16.328358505877272
Epoch 23 | dperp 512.3185523745462 | trainperp 15.450647679880252
Epoch 24 | dperp 541.3340918459053 | trainperp 14.463262262929938
Epoch 25 | dperp 574.0654381197007 | trainperp 13.819052943874233
Epoch 26 | dperp 603.7496691862182 | trainperp 13.299884760461886
Epoch 27 | dperp 624.8199513198833 | trainperp 13.029239441076767
Epoch 28 | dperp 662.7242784657926 | trainperp 12.30836980593499
Epoch 29 | dperp 693.1072825935786 | trainperp 11.786061360189766
Epoch 30 | dperp 714.989712815691 | trainperp 11.445346743129976
Epoch 31 | dperp 760.4104646754638 | trainperp 11.171584693841561
Epoch 32 | dperp 795.8553362425639 | trainperp 10.792183326059904
Epoch 33 | dperp 828.0227741890284 | trainperp 10.400989553554368
Epoch 34 | dperp 859.0982092252281 | trainperp 10.151239914630407
Epoch 35 | dperp 892.6531895534018 | trainperp 9.946366729925899
Epoch 36 | dperp 924.4224648580087 | trainperp 9.591949494148865
Epoch 37 | dperp 983.0664617957835 | trainperp 9.461092263834782
Epoch 38 | dperp 1011.4166223111342 | trainperp 9.322120859601897
Epoch 39 | dperp 1054.219794257567 | trainperp 8.95105200448933
Epoch 40 | dperp 1101.087364656471 | trainperp 8.90227756503388
Epoch 41 | dperp 1147.9637283495847 | trainperp 8.76061364615235
Epoch 42 | dperp 1185.91447354396 | trainperp 8.483933405886857
Epoch 43 | dperp 1219.589417640374 | trainperp 8.346013259872576
Epoch 44 | dperp 1264.9149672390056 | trainperp 8.236336709869693
Epoch 45 | dperp 1310.593686701137 | trainperp 8.061676608367183
Epoch 46 | dperp 1375.279843988287 | trainperp 8.047194388532265
Epoch 47 | dperp 1394.2833167779231 | trainperp 7.895576316262872
Epoch 48 | dperp 1442.9554928283162 | trainperp 7.714876913404519
Epoch 49 | dperp 1520.4075962142879 | trainperp 7.602913457066556
Epoch 50 | dperp 1525.4748403159774 | trainperp 7.5814974432269215
