vocabfile => ptb/ptb.vocab
batchsize => 25
epochs => 20
devfile => ptb/ptb.valid.txt
trainfile => ptb/ptb.train.txt
atype => KnetArray{Float32}
embedding => 256
gclip => 5.0
hiddens => [800]
Initial devperp 9998.711012951724
Epoch 1 | dperp 287.61485835426697 | trainperp 323.40994849211586
Epoch 2 | dperp 263.902860115868 | trainperp 213.56878087801311
Epoch 3 | dperp 273.1321255926175 | trainperp 168.3040180599728
Epoch 4 | dperp 279.5612458562914 | trainperp 129.3825844178353
Epoch 5 | dperp 298.5163457810428 | trainperp 94.98471152308021
Epoch 6 | dperp 336.6842518065787 | trainperp 66.74220215600548
Epoch 7 | dperp 368.8685319348656 | trainperp 47.118573324784364
Epoch 8 | dperp 397.57824742938703 | trainperp 34.0810554135244
Epoch 9 | dperp 456.2287192569046 | trainperp 24.60069420903075
Epoch 10 | dperp 523.3286254997765 | trainperp 19.121109698689803
Epoch 11 | dperp 582.3149280347126 | trainperp 15.54569876082417
Epoch 12 | dperp 668.5396021919648 | trainperp 12.649351398271078
Epoch 13 | dperp 746.4304184924418 | trainperp 10.528165601069258
Epoch 14 | dperp 858.7354634609974 | trainperp 8.792814038278927
Epoch 15 | dperp 985.2827697722385 | trainperp 7.708416489603024
Epoch 16 | dperp 1102.9317407333313 | trainperp 6.955143746601885
Epoch 17 | dperp 1275.0021623005296 | trainperp 6.166514619196712
Epoch 18 | dperp 1394.7792979828728 | trainperp 5.749559361986636
Epoch 19 | dperp 1624.5486017883916 | trainperp 5.126547592712024
Epoch 20 | dperp 1873.6928972590135 | trainperp 4.724176857225769
